scenario,repetition,sample_count,auth_mean_ms,auth_median_ms,auth_p95_ms,auth_std_ms,enforce_mean_ms,enforce_median_ms,enforce_p95_ms,enforce_std_ms,client_e2e_ms,throughput_rps,allow_count,restrict_count,deny_count,tx_count,gas_used
NORMAL_ACCESS,1,30,59.018,58.811,72.571,8.640,69.433,69.189,85.378,10.164,3098.265,14.39,30,0,0,30,955890
NORMAL_ACCESS,2,30,55.994,56.373,65.351,6.824,65.875,66.321,76.883,8.028,2871.532,15.17,30,0,0,30,955890
NORMAL_ACCESS,3,30,68.639,60.157,124.821,34.602,80.752,70.774,146.849,40.708,3085.892,12.38,30,0,0,30,955890
RESTRICT_ACCESS,1,30,59.919,57.582,82.010,11.266,70.494,67.743,96.483,13.254,2799.391,14.18,0,30,0,30,955890
RESTRICT_ACCESS,2,30,54.284,53.121,65.864,6.391,63.864,62.495,77.487,7.518,2596.489,15.65,0,30,0,30,955890
RESTRICT_ACCESS,3,30,53.810,51.732,64.224,6.632,63.306,60.861,75.558,7.802,2967.375,15.79,0,30,0,30,955890
LOW_TRUST,1,30,60.726,56.430,86.810,14.340,71.442,66.388,102.130,16.871,2888.483,13.99,0,0,30,30,955890
LOW_TRUST,2,30,64.422,52.652,72.663,57.891,75.790,61.944,85.485,68.107,2999.768,13.19,0,0,30,30,955890
LOW_TRUST,3,30,53.158,53.029,63.518,6.538,62.538,62.387,74.727,7.692,2543.264,15.98,0,0,30,30,955890
HIGH_RISK,1,30,44.257,43.740,58.410,7.312,52.067,51.459,68.718,8.602,2097.511,19.19,0,0,30,0,0
HIGH_RISK,2,30,46.533,47.253,54.329,5.551,54.745,55.591,63.916,6.531,2261.201,18.25,0,0,30,0,0
HIGH_RISK,3,30,41.068,39.436,46.189,9.539,48.315,46.395,54.339,11.223,2032.056,20.68,0,0,30,0,0
ABAC_FAILURE,1,30,31.453,28.864,42.048,6.598,37.004,33.957,49.468,7.762,1699.087,27.00,0,0,30,0,0
ABAC_FAILURE,2,30,38.060,38.428,47.665,6.176,44.777,45.209,56.077,7.266,2099.088,22.30,0,0,30,0,0
ABAC_FAILURE,3,30,34.929,33.747,45.915,5.554,41.093,39.703,54.018,6.535,1847.739,24.31,0,0,30,0,0
MIXED_SECURITY_WORKLOAD,1,30,52.160,51.757,69.526,11.114,61.365,60.890,81.796,13.076,2559.517,16.29,18,7,5,25,796575
MIXED_SECURITY_WORKLOAD,2,30,50.491,44.790,119.034,37.990,59.401,52.694,140.040,44.694,2406.357,16.83,10,5,15,15,477945
MIXED_SECURITY_WORKLOAD,3,30,54.783,57.417,71.997,14.728,64.451,67.550,84.702,17.327,2514.290,15.50,13,8,9,21,669123
BLOCKCHAIN_OUTAGE,1,30,0.100,0.100,0.100,0.000,0.003,0.001,0.015,0.006,69.880,0.00,0,0,30,0,0
BLOCKCHAIN_OUTAGE,2,30,0.100,0.100,0.100,0.000,0.003,0.003,0.003,0.000,58.584,0.00,0,0,30,0,0
BLOCKCHAIN_OUTAGE,3,30,0.100,0.100,0.100,0.000,0.001,0.001,0.001,0.000,47.394,0.00,0,0,30,0,0
RECOVERY,1,30,41.347,37.827,65.910,10.755,48.643,44.502,77.541,12.653,1949.190,20.55,30,0,0,30,955890
RECOVERY,2,30,44.546,44.331,53.785,6.196,52.408,52.153,63.277,7.290,2144.120,19.06,30,0,0,30,955890
RECOVERY,3,30,37.973,36.312,45.715,4.529,44.675,42.719,53.782,5.328,1940.192,22.37,30,0,0,30,955890
